Time [s],Distance [m],APPS1 [%],APPS2 [%],Brake_Front,Brake_Rear,motor_temp,igbt_temp,301_flags1,301_flags2,Map,305_flags1,request_torq,actual_torq,305_flags2,305_flags3,306_flags1,306_flags2,309_flags1,Encoder_Num,309_flags2,309_flags3,30A_flags,30C_flags,DEF,PLEX_pageNum,Power Limit,Motor_RPM,EnergyRemain,Control Syst,RPM_FL,RPM_FR,TotalVoltage,Min_cell_vol,Max_cell_vol,avg_cell_vol,mx_cell_md_t,WattH,mampsH,Min_cell_tem,Max_cell_tem,Avg_celll_te,Current [mA],Voltage [V],AMS_error,Water_temp [C],Fan,4D0_flags,IGBT_temp [C],motor_temp [C],Linear_RL_1,Linear_RL_2,Linear_RR_1,Linear_RR_2,RPM_RL,RPM_RR,Heave Linear,HeaveLinearD,Roll Linear,Roll LinearD,SteeringAngl [deg],tele_prim_in,tele_sens_in,Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z,Temperature [C],Infrared_RR1 [C],Infrared_RR2 [C],Infrared_RR3 [C],Infrared_RR4 [C],Infrared_FL1 [C],Infrared_FL2 [C],Infrared_FL3 [C],Infrared_FL4 [C],Infrared_FR1 [C],Infrared_FR2 [C],Infrared_FR3 [C],Infrared_FR4 [C],Infrared_RL1 [C],Infrared_RL2 [C],Infrared_RL3 [C],Infrared_RL4 [C],LOG_BUTTON,ODO [km],LAP,LAP t [s],LAP dist [m],bLAP t [s],ACC Long [g],ACC Lat [g],ACC Comb [g],LOG Time [m:s],POWER [hp],TORQUE [Nm],GPS Speed [kph],GPS Long [deg],GPS Lat [deg],Bearing [deg],uFLAGS1,prevLAP t [s],ACC LONG,ACC LAT,BMS_Status,IMD_Status,BSPD_Status,AIR-_Open,AIR+_Open,AA,RTD_Status,DRS,Inv_Status,CurrLimReach,IGBT_TempLim,MotorTempLim,CurrPeakWarn,DefectivePrm,HW_Fault,SafetyCrcuit,InvertStatus,APPs_Status,Brake_Status,APP_Deviatio,Brake_Deviat,SW_BSPD,DevDisStatus,SW_BSPD_Stat,CAN_time_out,BadEncoderSg,Overvoltage,Overcurrent,Curr_measure,BallastOverl,runSgnal_EMI,RFE_Status,SupplyStatus,OutVoltLimit,Overcurr200A,BallastOvl87,MsgToDB_R2D,MsgToDB_PC,R2Dmsg_toVCU,Regen_Status,Precharge,Msg_to_DRS,Request_R2D,MsgFromECU,AA_Button,R2D_Button,Encoder_Btn,pageL_Button,pageR_Button,DRS_Button,FAN_ON,Pumps,MotorTempHgh,DevTempHgh,MotorTempLim_159,DevTempLimit,DRS_ON,SLOW_DOWN
17:08:33.700,338.15,48,53,0,0,40,37,112,12,2,1,-11600,-6782,0,0,1,1,1,0,0,1,0,0,100,4,65,1742,0,0,397,435,0,3.91,3.96,3.94,68,45,81,32,36,34,36285,563.624,0,0,0,5,37,40,27,48,32,35,420,465,0,0,8,0.82,-27,8,85,0,0,0,0,0,0,0,36,36,36,35,0,0,0,0,33,36,36,34,32,36,36,37,0,600207,0,0,0,0,0.107,-0.544,0.554,36.69,1.6315464,6.5,31.7,23.783656,38.03612,302.3,0,0,7,-55,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
17:08:33.720,338.33,58,62,0,0,40,37,112,12,2,1,-11600,-6782,0,0,1,1,1,0,0,1,0,0,100,4,65,1742,0,0,397,435,0,3.91,3.96,3.94,68,45,81,32,36,34,36285,563.624,0,0,0,5,37,40,27,48,32,35,420,465,0,0,8,0.82,-27,8,85,0,0,0,0,0,0,0,36,36,36,35,0,0,0,0,33,36,36,34,32,36,36,37,0,600207,0,0,0,0,0.134,-0.537,0.553,36.71,2.4473196,9.8,31.9,23.783656,38.03612,302.3,0,0,10,-54,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
17:08:33.740,338.51,58,62,0,0,40,37,112,12,2,1,-12200,-11603,0,0,1,1,1,0,0,1,0,0,100,4,65,1742,0,0,397,435,0,3.91,3.96,3.94,68,45,81,32,36,34,44127,563.624,0,0,0,5,37,40,27,48,32,35,420,465,0,0,8,0.82,-27,2,144,0,0,0,0,0,0,0,36,36,36,34,0,0,0,0,33,36,36,35,32,36,36,37,0,600207,0,0,0,0,0.158,-0.535,0.558,36.73,3.2630928,13.1,31.9,23.783656,38.03612,302.3,0,0,13,-53,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
17:08:33.760,338.69,58,62,0,0,40,37,112,12,2,1,-12200,-11603,0,0,1,1,1,0,0,1,0,0,100,4,65,1742,0,0,397,435,0,3.91,3.96,3.94,68,45,81,32,36,34,44127,563.624,0,0,0,5,37,40,27,48,32,35,420,465,0,0,8,0.82,-27,2,144,0,0,0,0,0,0,0,36,36,36,34,0,0,0,0,33,36,36,35,32,36,36,36,0,600207,0,0,0,0,0.177,-0.538,0.566,36.75,3.6709794,14.8,33.1,23.783656,38.03612,301.6,0,0,15,-53,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
17:08:33.780,338.87,58,62,0,0,40,37,112,12,2,1,-12200,-11603,0,0,1,1,1,0,0,1,0,0,100,4,65,1805,0,0,427,450,0,3.91,3.96,3.94,68,45,81,32,36,34,44127,563.624,0,0,0,5,37,40,28,96,32,82,532,480,0,0,8,0.82,-27,2,144,0,0,0,0,0,0,0,36,36,36,34,0,0,0,0,33,36,36,35,32,36,36,36,0,600207,0,0,0,0,0.179,-0.541,0.57,36.77,4.4867526,18,33.1,23.783656,38.03612,301.6,0,0,17,-53,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
17:08:33.800,339.06,58,62,0,0,40,37,112,12,2,1,-12200,-11603,0,0,1,1,1,0,0,1,0,0,100,4,65,1805,0,0,427,450,0,3.91,3.96,3.94,68,45,81,32,36,34,44127,563.624,0,0,0,5,37,40,28,96,32,82,532,480,0,0,7,0.74,-22,4,190,0,0,0,0,0,0,0,36,36,36,34,0,0,0,0,33,36,36,35,32,36,36,36,0,600207,0,0,0,0,0.178,-0.552,0.58,36.79,4.4867526,17.4,33.9,23.783656,38.03612,300.6,0,0,17,-54,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
17:08:33.820,339.25,64,68,0,0,40,37,112,12,2,1,-12200,-11603,0,0,1,1,1,0,0,1,0,0,100,4,65,1805,0,0,427,450,0,3.91,3.96,3.94,68,45,81,32,36,34,44127,563.624,0,0,0,5,37,40,28,96,32,82,532,480,0,0,7,0.74,-22,4,190,0,0,0,0,0,0,0,36,36,36,34,0,0,0,0,33,36,36,35,32,36,36,36,0,600207,0,0,0,0,0.18,-0.54,0.569,36.81,4.4867526,17.4,34.1,23.783656,38.03612,300.6,0,0,17,-55,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
17:08:33.840,339.44,64,68,0,0,40,37,112,12,2,1,-12200,-11603,0,0,1,1,1,0,0,1,0,0,100,4,65,1805,0,0,427,450,0,3.91,3.96,3.94,68,46,82,32,36,34,54607,561.425,0,0,0,5,37,40,28,96,32,82,532,480,0,0,7,0.74,-22,2,4,0,0,0,0,0,0,0,36,36,36,34,0,0,0,0,33,36,36,35,32,36,36,36,0,600207,0,0,0,0,0.183,-0.528,0.559,36.83,4.8946392,19,34.1,23.783656,38.03612,300.6,0,0,18,-54,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
17:08:33.860,339.63,64,68,0,0,40,37,112,12,2,1,-13400,-11603,0,0,1,1,1,0,0,1,0,0,100,4,65,1805,0,0,427,450,0,3.91,3.96,3.94,68,46,82,32,36,34,54607,561.425,0,0,0,5,37,40,28,96,32,82,532,480,0,0,7,0.74,-22,2,4,0,0,0,0,0,0,0,36,36,36,34,0,0,0,0,33,36,35,34,32,36,36,36,0,600207,0,0,0,0,0.213,-0.517,0.559,36.85,4.8946392,19,35.1,23.783634,38.03612,297.9,0,0,18,-52,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
17:08:33.880,339.82,64,68,0,0,40,37,112,12,2,1,-13400,-11603,0,0,1,1,1,0,0,1,0,0,100,4,65,2250,0,0,442,502,0,3.91,3.96,3.94,68,46,82,32,36,34,54607,561.425,0,0,0,5,37,40,29,7,33,13,547,577,0,0,7,0.74,-22,2,4,0,0,0,0,0,0,0,36,36,36,34,0,0,0,0,33,36,35,34,32,36,36,36,0,600207,0,0,0,0,0.242,-0.501,0.556,36.87,5.8463746,22.7,35.1,23.783634,38.03612,297.9,0,0,21,-51,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
17:08:33.900,340.02,64,68,0,0,40,37,112,12,2,1,-13400,-11603,0,0,1,1,1,0,0,1,0,0,100,4,65,2250,0,0,442,502,0,3.91,3.96,3.94,68,46,82,32,36,34,54607,561.425,0,0,0,5,37,40,29,7,33,13,547,577,0,0,7,0.6,-17,6,48,0,0,0,0,0,0,0,36,36,36,34,0,0,0,0,33,36,35,34,32,36,36,36,0,600207,0,0,0,0,0.287,-0.473,0.553,36.89,6.79811,21.2,36.3,23.783634,38.036132,297.5,0,0,24,-50,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
